40,TRUE,1,0.0058994
20,TRUE,1,0.007009691
10,TRUE,1,0.009395478
5,TRUE,1,0.011702815
2.5,TRUE,1,0.169820028
1.25,TRUE,1,0.509460083
0.625,TRUE,1,0.844485464
0.3125,TRUE,1,0.888786341
0.15625,TRUE,1,0.941393632
0.078125,TRUE,1,0.905399169
40,TRUE,2,0.00623904
20,TRUE,2,0.004934933
10,TRUE,2,0.005413936
5,TRUE,2,0.013465621
2.5,TRUE,2,0.149515459
1.25,TRUE,2,0.476234425
0.625,TRUE,2,0.817720351
0.3125,TRUE,2,0.950622981
0.15625,TRUE,2,0.854637748
0.078125,TRUE,2,0.842639594
40,TRUE,3,0.005985233
20,TRUE,3,0.006083064
10,TRUE,3,0.008789109
5,TRUE,3,0.011748962
2.5,TRUE,3,0.128287956
1.25,TRUE,3,0.668204892
0.625,TRUE,3,0.853714813
0.3125,TRUE,3,1.052145824
0.15625,TRUE,3,0.996769728
0.078125,TRUE,3,1.005999077
40,TRUE,4,0.006194739
20,TRUE,4,0.004319335
10,TRUE,4,0.006151361
5,TRUE,4,0.013142593
2.5,TRUE,4,0.143054915
1.25,TRUE,4,0.701430549
0.625,TRUE,4,0.836179049
0.3125,TRUE,4,1.125980618
0.15625,TRUE,4,1.033687125
0.078125,TRUE,4,1.10752192
40,FALSE,1,0.016210873
20,FALSE,1,0.009945634
10,FALSE,1,0.009896211
5,FALSE,1,0.01185173
2.5,FALSE,1,0.0145486
1.25,FALSE,1,0.048369028
0.625,FALSE,1,0.456342669
0.3125,FALSE,1,0.741350906
0.15625,FALSE,1,1.046128501
0.078125,FALSE,1,1.120263591
40,FALSE,2,0.015405272
20,FALSE,2,0.00830313
10,FALSE,2,0.006490939
5,FALSE,2,0.005955519
2.5,FALSE,2,0.010981878
1.25,FALSE,2,0.046490939
0.625,FALSE,2,0.520593081
0.3125,FALSE,2,0.873146623
0.15625,FALSE,2,0.973640857
0.078125,FALSE,2,1.052718287
40,FALSE,3,0.017891269
20,FALSE,3,0.012429984
10,FALSE,3,0.013321252
5,FALSE,3,0.010252059
2.5,FALSE,3,0.020181219
1.25,FALSE,3,0.058583196
0.625,FALSE,3,0.467874794
0.3125,FALSE,3,0.772652389
0.15625,FALSE,3,0.925864909
0.078125,FALSE,3,0.988467875
40,FALSE,4,0.021350906
20,FALSE,4,0.009
10,FALSE,4,0.007126853
5,FALSE,4,0.007950577
2.5,FALSE,4,0.018220758
1.25,FALSE,4,0.155436573
0.625,FALSE,4,0.449752883
0.3125,FALSE,4,0.70675453
0.15625,FALSE,4,0.919275124
0.078125,FALSE,4,0.89291598